2020/10/14 08:53:42 [emerg] 9752#14372: CreateDirectory() "C:\Repository\My-notes\Nginx/temp/client_body_temp" failed (3: The system cannot find the path specified)
2020/10/14 09:03:35 [error] 2584#1316: *240 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655413772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655413772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:04:07 [error] 2584#1316: *228 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655445771 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655445771", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:04:39 [error] 2584#1316: *272 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655477772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655477772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:05:10 [error] 2584#1316: *291 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /__webpack_dev_server__/sockjs.bundle.js HTTP/1.1", upstream: "http://[::1]:4200/__webpack_dev_server__/sockjs.bundle.js", host: "localhost", referrer: "http://localhost/sockjs-node/iframe.html"
2020/10/14 09:05:31 [error] 2584#1316: *305 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655529772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655529772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:06:03 [error] 2584#1316: *307 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655561772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655561772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:06:35 [error] 2584#1316: *321 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655593772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655593772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:07:07 [error] 2584#1316: *323 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655625772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655625772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:07:39 [error] 2584#1316: *337 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655657772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655657772", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:08:11 [error] 2584#1316: *339 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655689771 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655689771", host: "localhost", referrer: "http://localhost/"
2020/10/14 09:08:43 [error] 2584#1316: *353 connect() failed (10061: No connection could be made because the target machine actively refused it) while connecting to upstream, client: 127.0.0.1, server: , request: "GET /sockjs-node/info?t=1602655721772 HTTP/1.1", upstream: "http://[::1]:4200/sockjs-node/info?t=1602655721772", host: "localhost", referrer: "http://localhost/"
